"symbolid","pricedatetime","open","high","low","close"
900745,2018-11-22,1.1392,1.14339,1.13908,1.14134
900745,2018-11-23,1.14133,1.1421,1.1326,1.1335
900745,2018-11-25,1.134,1.13458,1.1325,1.13454
900745,2018-11-26,1.13454,1.13838,1.1323,1.13371
900745,2018-11-27,1.1337,1.1344,1.1276,1.1295
900745,2018-11-28,1.12953,1.13884,1.1266,1.1386
900745,2018-11-29,1.13855,1.14017,1.1347,1.13925
900745,2018-11-30,1.13921,1.1397,1.1304,1.13178
900745,2018-12-02,1.135,1.13569,1.1327,1.135
900745,2018-12-03,1.13498,1.1383,1.1318,1.13776
900745,2018-12-04,1.1377,1.14186,1.13181,1.1328
900745,2018-12-05,1.13282,1.13613,1.13104,1.1347
900745,2018-12-06,1.13473,1.14123,1.13207,1.13735
900745,2018-12-07,1.13736,1.14236,1.1359,1.13941
900745,2018-12-09,1.13905,1.14426,1.13898,1.14279
900745,2018-12-10,1.1428,1.14398,1.13486,1.13688
900745,2018-12-11,1.13687,1.14,1.1305,1.13259
900745,2018-12-12,1.1326,1.13872,1.1314,1.13646
900745,2018-12-13,1.13647,1.13934,1.133,1.13615
900745,2018-12-14,1.13616,1.1362,1.1268,1.1305
900745,2018-12-16,1.13,1.1315,1.12991,1.13092
900745,2018-12-17,1.131,1.136,1.1304,1.13472
900745,2018-12-18,1.1347,1.14021,1.1336,1.13809
900745,2018-12-19,1.13808,1.14392,1.1359,1.13854
900745,2018-12-20,1.13855,1.14858,1.1381,1.1444
900745,2018-12-21,1.14439,1.14739,1.1354,1.13678
900745,2018-12-23,1.1371,1.1392,1.1359,1.13915
900745,2018-12-24,1.13915,1.14384,1.13739,1.1413
900745,2018-12-25,1.1414,1.1423,1.1364,1.14053
900745,2018-12-26,1.14055,1.1414,1.1342,1.13844
900745,2018-12-27,1.1382,1.1467,1.13641,1.14513
900745,2018-12-28,1.14514,1.1476,1.143,1.144
900745,2018-12-30,1.1435,1.1452,1.1421,1.1423
900745,2018-12-31,1.14213,1.1499,1.142,1.1472
900745,2019-01-01,1.1471,1.1584,1.1441,1.14447
900745,2019-01-02,1.14448,1.14967,1.1308,1.13672
900745,2019-01-03,1.13671,1.14118,1.13368,1.13939
900745,2019-01-04,1.1392,1.1419,1.1345,1.13959
900745,2019-01-06,1.1395,1.143,1.13946,1.14202
900745,2019-01-07,1.14202,1.14844,1.14097,1.1439
900745,2019-01-08,1.14387,1.14692,1.1421,1.14595
900745,2019-01-09,1.14595,1.157,1.14385,1.15582
900745,2019-01-10,1.15583,1.1563,1.14841,1.15287
900745,2019-01-11,1.15287,1.15404,1.1457,1.14669
900745,2019-01-13,1.146,1.1478,1.1457,1.14757
900745,2019-01-14,1.14757,1.149,1.1449,1.14798
900745,2019-01-15,1.14797,1.14831,1.1381,1.1411
900745,2019-01-16,1.14101,1.14248,1.1376,1.13824
900745,2019-01-17,1.13825,1.1407,1.13698,1.13935
900745,2019-01-18,1.1392,1.14101,1.1352,1.136
900745,2019-01-20,1.13599,1.13801,1.13598,1.13784
900745,2019-01-21,1.13785,1.13913,1.1354,1.13583
900745,2019-01-22,1.13584,1.13738,1.1335,1.1366
900745,2019-01-23,1.13661,1.13942,1.135,1.1386
900745,2019-01-24,1.1386,1.1388,1.1288,1.13202
900745,2019-01-25,1.1321,1.14176,1.13139,1.14047
900745,2019-01-27,1.14,1.14256,1.13997,1.14187
900745,2019-01-28,1.14188,1.1444,1.1389,1.14313
900745,2019-01-29,1.14312,1.14502,1.141,1.14399
900745,2019-01-30,1.14399,1.15078,1.1405,1.15
900745,2019-01-31,1.15027,1.15142,1.1435,1.14418
900745,2019-02-01,1.14419,1.14885,1.1433,1.14541
900745,2019-02-03,1.14508,1.14602,1.144,1.144
900745,2019-02-04,1.14422,1.14542,1.1423,1.14317
900745,2019-02-05,1.14319,1.14357,1.1395,1.14
900745,2019-02-06,1.1401,1.14023,1.1355,1.13618
900745,2019-02-07,1.13617,1.13664,1.1323,1.134
900745,2019-02-08,1.13407,1.1351,1.1319,1.13208
900745,2019-02-10,1.13194,1.1329,1.13142,1.132
900745,2019-02-11,1.13191,1.133,1.1266,1.1276
